Código,País ISO
003330,DE
002052,
000166,
003601,ES
003103,ES
000143,ES
001938,SE
003308,ES
003039,ES
003442,ES
003334,ES
003077,
000153,ES
003060,
003008,
000150,
003050,ES
003158,ES
003189,ES
003283,ES
003594,ES
003378,ES
000171,ES
003053,ES
000110,US
000172,ES
003408,SE
003433,ES
000175,ES
003239,ES
000141,
000170,
003113,ES
003206,ES
000137,ES
003084,CA
003073,ES
000177,ES
003536,ES
000139,ES
003513,DE
003576,ES
003489,ES
003090,ES
003406,ES
000160,ES
003163,ES
003218,CN
000126,SE
000149,ES
003070,ES
000155,ES
003281,ES
003065,GB
000163,
003563,ES
003186,ES
000158,DE
000152,ES
000174,
003540,ES
000151,
003012,ES
003137,ES
003383,ES
003038,ES
001068,
000168,ES
003126,ES
003170,IN
003556,ES
000176,ES
003274,NO
003124,ES
000167,
000124,ES
003363,ES
003423,ES
003211,
003153,ES
003249,ES
000164,
000165,ES
003482,ES
003402,ES
003000,ES
003235,ES
003565,ES
003244,ES
003522,ES
003320,ES
000203,
003001,US
003176,ES
003322,ES
003135,IT
000215,
000208,IT
003117,IT
003226,
000213,ES
003428,ES
003099,
003182,ES
000205,ES
003151,ES
003010,ES
000214,
000207,US
000216,ES
003506,ES
003051,ES
000377,ES
000351,
003367,ES
000342,ES
003224,ES
000341,ES
003316,ES
000370,
003325,ES
000344,ES
003294,ES
003413,ES
003451,ES
003020,ES
003149,FR
003028,ES
003129,ES
003337,ES
000361,
003251,ES
000369,
003033,DE
003116,ES
000364,
003464,ES
003092,ES
003146,ES
000345,
000350,ES
003420,ES
003497,FR
000376,ES
003352,IT
003502,ES
000326,
003526,ES
000374,ES
003223,ES
003265,ES
000371,DE
000347,ES
003511,ES
003054,
003037,ES
003521,ES
000372,
003531,ES
003174,ES
003254,ES
003115,ES
000378,
000343,
003447,MX
000408,
000365,ES
003075,ES
003416,US
003152,ES
000363,
003495,ES
003399,IT
003592,ES
003353,IT
003058,ES
003098,ES
003581,BE
003359,ES
003263,ES
003030,ES
003128,ES
003554,IT
003096,ES
003318,ES
003319,ES
003125,ES
003112,ES
000346,ES
003472,ES
003567,ES
003120,ES
000373,
003550,ES
003560,ES
000404,ES
003087,FR
003366,ES
003373,CA
003562,ES
003520,ES
003435,ES
000407,ES
003368,ES
000412,
003382,ES
003555,
003076,ES
000405,ES
003501,ES
003584,ES
003279,DE
003147,ES
003354,ES
000402,ES
003164,ES
003067,ES
003267,ES
003052,ES
003595,US
003480,MX
000413,FR
003528,ES
003538,ES
003110,ES
003549,ES
000406,
003132,ES
000602,GB
003446,ES
000415,ES
003200,
003508,ES
003307,GB
003029,ES
000639,
003062,ES
003015,ES
003242,ES
003344,DE
003063,ES
003386,ES
000507,
000658,ES
000521,ES
000627,
003527,ES
003564,ES
003177,ES
000640,
000644,
003089,ES
003041,ES
003021,ES
003585,DE
000637,ES
003430,ES
000642,
003558,ES
003197,ES
000516,
000626,ES
003518,ES
003140,ES
003210,ES
000657,ES
003133,ES
003007,ES
003144,FR
000646,
003475,ES
003417,ES
003148,ES
003312,ES
000655,ES
000643,
003432,ES
003262,ES
000520,
003310,ES
003376,ES
003438,ES
003374,ES
003426,ES
003411,ES
003214,ES
003111,ES
003183,ES
003575,ES
003213,ES
003499,ES
003156,ES
003561,ES
000645,
000641,ES
000633,ES
003104,ES
003305,ES
003396,ES
003083,ES
003238,ES
003381,ES
003572,ES
003290,ES
003479,ES
003185,
000653,ES
003328,ES
003081,ES
003079,ES
000636,ES
003355,ES
003247,ES
003404,ES
000632,
000652,
000629,
003227,ES
000651,
000630,
003259,ES
000654,
003268,ES
000656,DE
003578,IL
003588,ES
003370,ES
003347,ES
000718,
003188,FR
003229,ES
003324,ES
003082,ES
000801,ES
003222,ES
003023,ES
003362,ES
003333,ES
003166,ES
000705,ES
003036,GB
000717,
003474,ES
000800,
000169,ES
003179,ES
000803,
003150,ES
000804,ES
003303,ES
000714,ES
003284,ES
003208,ES
003172,SE
000709,DE
003450,ES
000716,
000701,ES
003574,ES
000725,
003178,ES
000724,
003358,ES
003260,ES
003415,ES
000707,ES
003463,
003233,ES
000779,
000799,
000812,DE
000821,DK
003559,CN
003453,CN
003184,ES
003372,ES
003380,ES
003580,ES
003466,ES
003142,ES
003530,ES
003329,ES
000840,ES
000822,ES
003049,ES
003596,ES
003503,ES
000828,ES
003431,ES
003187,ES
000841,
000845,ES
003216,ES
000830,ES
000842,
003026,ES
000831,ES
000810,NL
000832,
003524,ES
000816,
000843,ES
000844,ES
003269,ES
003264,ES
000802,
003031,ES
003313,ES
003460,ES
003389,GB
000927,ES
000930,ES
003240,ES
003025,ES
003068,ES
000933,ES
000931,ES
000919,
000932,
003034,ES
003529,ES
003393,ES
000929,
003356,ES
003003,ES
003429,ES
003072,ES
003217,ES
000916,ES
000806,ES
003004,ES
000902,DE
003394,ES
000928,ES
003298,ES
003323,ES
003069,ES
000904,
003582,ES
003094,ES
000918,ES
003006,ES
003343,ES
003273,ES
003346,ES
003042,FR
003546,ES
003056,ES
003557,DE
003016,ES
003384,ES
003365,ES
003309,ES
003398,ES
001009,
003345,ES
000917,
003057,ES
001001,ES
000907,ES
003602,ES
003523,ES
003005,ES
003519,ES
001010,ES
003205,ES
001111,
003589,ES
001101,
001108,DE
003043,DE
003175,ES
001102,
003018,ES
003134,IT
003295,ES
001113,DE
001107,
001109,DE
003106,ES
003271,ES
001110,ES
003190,ES
003162,DE
003207,ES
003481,ES
003114,DE
003035,ES
001211,ES
003321,ES
003593,ES
000304,ES
003412,ES
003369,ES
003461,ES
001210,
003577,ES
003331,ES
003180,ES
003385,ES
003145,ES
001212,ES
003405,ES
001209,
003456,ES
001208,ES
003338,ES
001213,ES
003282,ES
003046,ES
003123,IT
003424,ES
003487,ES
003597,ES
003414,ES
003191,ES
000335,ES
003127,ES
003141,ES
003095,JP
003434,ES
003045,MX
001423,
003392,ES
003014,ES
003252,ES
003436,ES
003304,ES
003599,ES
001421,
003221,ES
003371,ES
001347,ES
003169,ES
001313,
003272,ES
003476,US
003256,ES
001408,ES
001420,
003296,ES
003139,ES
001345,ES
003286,ES
003154,ES
003544,ES
001416,ES
003598,ES
003484,ES
003093,ES
003061,ES
003276,ES
001419,
003196,
003107,ES
001338,
001418,
003044,IT
001329,
003477,ES
003181,US
003552,ES
003195,ES
003228,ES
003498,ES
003105,DE
001424,NO
003285,ES
001336,
001415,
003193,ES
003074,ES
003257,FR
003292,ES
003199,ES
001401,ES
001414,
003136,ES
003361,ES
001422,ES
003342,ES
003270,ES
003194,ES
003397,ES
003314,ES
003237,ES
001407,
003504,ES
003586,ES
003455,ES
003437,ES
003494,ES
003410,ES
003379,ES
003421,ES
003566,ES
003231,ES
003454,ES
003236,ES
003401,ES
003019,CA
003317,ES
003583,BE
