Cód.,D.N.I / C.I.F.,Nombre,Dirección,Provincia,Población,C.P.,Teléfono,Email,País,País ISO,Forma de pago,Descripción forma de pago,Divisa,Régimen IVA
000103,,ALDO GALLI S.R.L.,"Corso Europa, 223",Extranjero,CASSANO D'ADDA (MI) - ITALIA,20062,+39-0363-360303,,Italia,IT,,Contado,EUR,U.E.
000104,51418959K,AGUIRRE - IGNACIO,,Madrid,,,,,,ES,,,EUR,General
000151,05454575X,"ALMACENES DELCA, S.A.","C/Teodoro Cuesta, 2",Asturias,GIJÓN,33207,985 176111,,España,ES,,,EUR,General
000153,B82875055,"AIRBUS OPERATIONS, S.L.","Avda. John Lenon, s/n",Madrid,GETAFE,28906,,,,ES,,,EUR,General
000162,,ASMAR-ASTILL.Y MAESTRANZA ARMADA,,,,,,,,,,Contado,EUR,General
000165,A33030818,ASTILLEROS GONDAN S.A.,,Madrid,,,,,,ES,,,EUR,General
000167,A15033939,ATEIN NAVAL S.A.,CTRA. CIRCUNVALACION 28,La Coruña / A Coruña,LA CORUÑA,15002,,,,ES,,,EUR,General
000173,,BENITO BARON-Mª CONSUELO,"Plaza Francisco Sarmiento, s/n",Burgos,BURGOS,09005,947225640,,España,ES,,,EUR,General
000174,A36650828,"AISTER-AISLAMIENTOS TERMICOS GALICIA, S.A.","C/Baixada do Cocho, 228 - A Gu",Pontevedra,MOAÑA,36955,986 240 294,info@aister.es,España,ES,,,EUR,General
000176,,AINTEC BAHIA S.A.,,,,,,,,,,Contado,EUR,General
000177,A08002883,ASEA BROWN BOVERI,"C/Romualdo, 13",Madrid,MADRID,28037,91 581 93 93,,España,ES,,,EUR,General
000181,A28016814,AL AIR LIQUIDE ESPAÑA S.A.,"C/San Norberto, 23 - Villaverd",Madrid,MADRID,28021,91 502 95 97,,España,ES,,,EUR,General
000186,,AIR EUROPA LINEAS AEREAS,,,,,,,,,,Contado,EUR,General
000187,,ASTURFEITO SLU - FRENOS DE TAMBOR,,,,,,,,,,Contado,EUR,General
000188,,ASTILLEROS DE SEVILLA S.A.,,,,,,,,,,Contado,EUR,General
000189,B95498192,APEL-GRUAS S.L.U.,Pol. Ind. Ugaldeguren III  - P,Vizcaya,ZAMUDIO,48170,944 675209,,España,ES,,,EUR,General
000190,B83195966,"ARIES COMPLEX AERONAUTICA, S.L.","Avda. de la Industria, 19",Madrid,TRES CANTOS,28760,,,España,ES,,Pago a 85 días f.f.,EUR,General
000191,B83195933,"ACITURRI COMPOSITES, S.L.U.",Parque Tecnológico Boecillo -,Valladolid,BOECILLO,47151,983 546633,,España,ES,,Pago a 75 días f.f.,EUR,General
000192,,ABANTIA TICSA S.A.,,,,,,,,,,Contado,EUR,General
000193,A95113361,ACCIONA AGUA S.A.U.,,Madrid,,,,,,ES,,,EUR,General
000194,B36614816,"ASTILLEROS M CIES, S.L.",FRAGOSIÑO 59,Pontevedra,SAN PEDRO DE SARDOMA,36214,,,,ES,,Contado,EUR,General
000202,,"CIA. TRASMEDITERRANEA, S.A.",,,,,,,,,,Contado,EUR,General
000214,,"CONTRATAS MERODIO, S.L.",,,,,,,,,,Contado,EUR,General
000216,,BANSALEASE S.A. EFC,,,,,,,,,,Contado,EUR,General
000217,,BANCO SABADELL S.A.,,,,,,,,,,Contado,EUR,General
000218,,BANKOA S.A.,,,,,,,,,,Contado,EUR,General
000219,A11000403,BOLUDA LINES S.A.,"Av. Petrolíferas, Parc. C-14,",Las Palmas,LAS PALMAS DE GRAN CANARIA,35008,,,España,ES,,,EUR,General
000220,,BANCO BILBAO VIZCAYA,,Madrid,,,,,,ES,,Contado,EUR,General
000221,,RENAULT ESPAÑA,,,VALLADOLID,,983417313,,,,,,EUR,General
000302,Q28/17003-C,CEPYC,Antonio López. 81,Madrid,MADRID,28026,91 3357700,,España,ES,,Transferencia a 60 días f.f.,EUR,General
000327,,CARRETILLAS LOYMAN S.L.,,,,,,,,,,Pago a 85 días f.f.,EUR,General
000329,,CANTABRASIL  S.A.,,,,,,,,,,Contado,EUR,General
000330,B-63579429,COMPACT HABIT S.L.,"Polígono Ind. ""La Cort"", C/Mar",Barcelona,CARDONA,08261,677969013,JESUS.CODINA@COMPACTHABIT.COM,España,ES,,,EUR,General
000331,A48049043,CONSIGNACIONES TORO Y BETOLAZA S.A.,"San Vicente, 8 - Edif. Albia,",Vizcaya,BILBAO,48001,944 252600,,España,ES,,Transferencia a 60 días f.f.,EUR,General
000332,,CONCELLO DE SARREAUS,,,,,,,,,,Contado,EUR,General
000333,,"CONTECH S,A.",,,,,,,,,,Contado,EUR,General
000335,A31085640,M. TORRES DISEÑOS INDUSTRIALES S.A.,CARREERA hUESCA KM 9,Navarra,TORRES DE LEROZ,31119,,,,ES,,Transferencia a 60 días f.f.,EUR,General
000337,G15028947,CAJA AHORROS DE GALICIA,Rua Nueva 30-32,La Coruña / A Coruña,A CORUÑA,15003,,,,ES,,Contado,EUR,General
000338,A79997136,C.A. METROPOLITAN S.A.,JOAQUIN TURINA NUM. 2,Madrid,POZUELO DE ALARCON,28224,,,,ES,,Contado,EUR,General
000339,B95388450,CONST. NAVALES DEL NORTE S.L.,RIBERA DE LA RIA S/N,Vizcaya,SESTAO,48910,94 4858600,,España,ES,,Transferencia a 60 días f.f.,EUR,General
000340,A50025287,CARGOTEC IBERIA S.A.,CALLE LIMITE S/N P.I. LAS FRON,Madrid,TORREJON DE ARDOZ,28850,,,,ES,,Transferencia a 60 días f.f.,EUR,General
000401,,DEAL S.L.,"Pol. Industrial San Vicente, C",Barcelona,CASTELLBISBAL,08755,,,España,ES,,,EUR,General
000402,,DAVIS ENGINEERING LIMITED,"1260 Oln Innes Road - Ottawa,",Extranjero,ONTARIO,K1B 3,613 748 5500,,Canadá,CA,,,CND,Exento
000403,,DIFEM S.A.,,Madrid,,,,,,ES,,Contado,EUR,General
000407,,DIQUES Y ASTILLEROS NACIONALES CA,,,,,,,,,,Contado,EUR,General
000408,,DOBLE A PROTECCION SOLAR S.L.,,,,,,,,,,Contado,EUR,General
000409,B36567642,DISNAU- Distribuciones Naúticas de Galicia 2007,"Avda. José maría Castroviejo,",Pontevedra,CANGAS DO MORRAZO,36940,670314499 (Com),,España,ES,,,EUR,General
000414,,DAFOE INVERSIONES S.L.,,Madrid,,,,,,ES,,,EUR,General
000502,,"EXPLOTACIONES RUIZSEBAS, S.A.",,Madrid,,,,,,ES,,,EUR,General
000511,A48093918,"G. ELEXALDE, S.A","Pol. Ind. Zubieta, 3, U.I. 11",Vizcaya,AMOREBIETA,48340,94 6300060,,España,ES,,Transferencia a 60 días f.f.,EUR,General
000522,B11200680,"ELIAS BLANCO,  S.L.","Avda. Gesto por la Paz, s/n, (",Cádiz,ALGECIRAS,11206,956 632200,,España,ES,,Transferencia a 60 días f.f.,EUR,General
000524,A26014233,EMAR MANUFACTURAS METALICAS SA,,Madrid,,,,,,ES,,Contado,EUR,General
000531,,"ESTUDIOS, PLANIF. Y GEST. TECNICA",,,,,,,,,,Contado,EUR,General
000534,B74114687,EURONORT INDUSTRIAL S.L.L.,"C/Río Narcea, 29 - Bajo",Asturias,GIJON,33210,984 39 70 70,,España,ES,,Contado,EUR,General
000537,,ELSADE MANUTENCION S.L.,,,,,,,,,,Contado,EUR,General
000538,,EADS CASA ESPACIO S.L.,,,,,,,,,,Contado,EUR,General
000603,,FREESE,,Madrid,,,,,,ES,,,EUR,General
