Referencia Product,Descripción,COSTE,Referencia Proveed,Código Proveedor,Nombre Proveedor,Códig Familia,Nombre Familia,Fecha Alta,Bajo pedido,STOCK
AC-003478,Cinta guiado ÓPTICO WT-5128 40/20/40mm x 25m,"88,000",512.807.B100-25,003330,1A TAPES E.K.,00029,ACCESORIOS,23-03-16,bajo pedido,
AC-000119,FILTRO PINTURA PAINT-STOP ROLL 1x20,"154,560",,000143,"AAF, S.A.",00031,CABINAS GRANALLA/PINTURA,05-05-10,bajo pedido,
AC-000438,BANDEJA METALICA PORTACABLES REJIBAND 400x60 L=3 mts,"93,298",,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,04-05-11,bajo pedido,
AC-000795,BANDEJA PORTACABLES METALICA REJIBAND 100x60,"5,597",60.222.100 BYCRO,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,13-07-12,bajo pedido,
AC-000817,REJIBAND 100x60 BYCRO 60.222.100,"2,893",60222100,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,09-10-12,bajo pedido,
AC-000855,FIJACIÓN DE UNIÓN PEMSA 64020060,"0,308",64020060,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,10-12-12,bajo pedido,
AC-000856,PLACA UNION LATERAL PEMSA 64010041,"0,392",64010041,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,14-12-12,bajo pedido,
AC-000866,REJIBAND 200x60 60222200,"3,476",60222200,003039,"ABM REXEL, S.L.U.",00006,ELECTRICIDAD,17-01-13,bajo pedido,
AC-001217,REJIBAND 60x60  60222060,"1,961",60222060,003039,"ABM REXEL, S.L.U.",00007,ELECTRICIDAD,19-03-14,bajo pedido,
AC-001219,UNION PEMSA 64020061,"0,422",64.020.061,003039,"ABM REXEL, S.L.U.",00008,ELECTRICIDAD,19-03-14,bajo pedido,
AC-001228,REJIBAND 60x300,"5,928",,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,21-03-14,bajo pedido,
AC-001501,INTERRUPTOR XCKD2118G11,"14,300",,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,26-11-14,bajo pedido,
AC-001502,CAJA PARADA EMERGENCIA TEE XAL-K178F,"23,650",,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,26-11-14,bajo pedido,
AC-001503,ETIQUETA CIRCULAR TEE ZBY-9330,"2,550",,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,26-11-14,bajo pedido,
AC-001511,INTERRUPTOR TEE XCK-P2102P16,"14,800",,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,28-11-14,bajo pedido,
AC-001512,PRENSAESTOPAS IRIS-P M-16,"0,210",,003039,"ABM REXEL, S.L.U.",00005,ELECTRICIDAD,28-11-14,bajo pedido,
